"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"telecommunicationsequipment","A02",15,"no",18.29,0.246197334769148,181.9,114.85,0.212721887812652,8.55490848585691,0.302583837273227,0.41916812491587,-1.20049916805324,0.448781801049939,74.29,0.302583837273227,0.408411214953271,-0.357478833490122,-0.0593183067619571,0.565310610225399
"telecommunicationsequipment","A02",14,"no",0.36,0.00378310214375788,208.19,123.69,0.715632070590009,3.60842026825633,0.277054613574139,0.481084489281211,0.0219821162444113,0.377154266498529,95.16,0.277054613574139,0.457082472741246,1.05772994129159,0.054421441952063,0.465200057639656
"telecommunicationsequipment","A02",13,"no",13.28,0.185448959642508,192.39,105.36,0.648631637804805,3.01218583396801,0.315868808150112,0.549364613880743,-0.13975628332064,0.608993157380254,71.61,0.315868808150112,0.37221269296741,0.563616071428572,0.0436613129580539,0.411144030355008
"telecommunicationsequipment","A02",12,"yes",19.8,0.20702634880803,144.83,92.9,1.19224275965281,2.48985725018783,0.174963750604157,0.461104140526976,0.0270473328324568,0.46685487243831,95.64,0.174963750604157,0.660360422564386,1.08144796380091,0.0362493958434026,0.457639991714424
"telecommunicationsequipment","A02",11,"yes",31.12,0.272575983182973,139.6,87.89,1.35703656650619,2.3921265920494,0.184813753581662,0.439257247963563,0.0474720185256658,0.306647981080844,114.17,0.184813753581662,0.817836676217765,1.19935170178282,0.0122492836676218,0.443982808022923
"miscellaneous","A07",15,"no",17.16,0.0745438748913988,146.31,79.67,1.84679851221776,1.21428571428571,0.209486706308523,0.426672458731538,-0.120900500277932,0.264248479582971,230.2,0.209486706308523,1.5733716082291,-3.29107981220657,-0.0750461349190076,0.298612535028364
"miscellaneous","A07",14,"no",14.35,0.0525679536962415,136.24,55.51,3.06900076356505,0.301829268292683,0.279433352906635,0.434390797860649,0.0628517823639775,0.143526998314895,272.98,0.279433352906635,2.00366999412801,3.96842105263158,-0.0447005284791544,0.0944656488549618
"miscellaneous","A07",13,"no",11.59,0.041332334795478,129.14,49.66,3.60489517652981,0.163815326927584,0.28503949202416,0.47298598480796,0.197797047105695,0.132234941692522,280.41,0.28503949202416,2.17136441071705,13.1241379310345,0.0914511382995199,0.0541273037014093
"miscellaneous","A07",12,"no",7.81,0.0281603807600779,116.32,42.42,3.60757097452475,0.110471204188482,0.306997936726272,0.453414581380255,0.128272251308901,0.0945770534362155,277.34,0.306997936726272,2.38428473177442,5.39024390243903,-0.0922455295735901,0.0362792297111417
"miscellaneous","A07",11,"no",10.29,0.0332901973471368,133.68,61.21,3.71709904505596,0.671490988530857,0.268252543387193,0.404723390488515,0.396777717094484,0.118020058233581,309.1,0.268252543387193,2.3122381807301,10.8839590443686,-0.0142130460801915,0.183946738479952
